year,movie,movie_id,Certificate,Duration,Genre,Rate,Metascore,Synopsis,Director_Stars,Votes,Gross
2000,Unbreakable,tt0217869,PG-13,106,"Drama, Mystery, Sci-Fi",7.2,62,A man learns something extraordinary about himself after a devastating accident.,"Director: M. Night Shyamalan | Stars: Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark",251457,$95000000
2000,Requiem for a Dream,tt0180093,R,102,Drama,8.4,68,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"Director: Darren Aronofsky | Stars: Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",596759,$3610000
2000,Snatch,tt0208092,R,102,"Comedy, Crime",8.3,55,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Director: Guy Ritchie | Stars: Jason Statham, Brad Pitt, Benicio Del Toro, Dennis Farina",623296,$30090000
2000,Gladiator,tt0172495,R,155,"Action, Adventure, Drama",8.5,64,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.","Director: Ridley Scott | Stars: Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",1024040,$187670000
2000,Memento,tt0209144,R,113,"Mystery, Thriller",8.5,80,A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.,"Director: Christopher Nolan | Stars: Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",879688,$25530000
2000,American Psycho,tt0144084,R,102,"Crime, Drama",7.6,64,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","Director: Mary Harron | Stars: Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",371133,$15050000
2000,X-Men,tt0120903,PG-13,104,"Action, Adventure, Sci-Fi",7.4,64,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,"Director: Bryan Singer | Stars: Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen",468351,$157300000
2000,Cast Away,tt0162222,PG-13,143,"Adventure, Drama, Romance",7.7,73,A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.,"Director: Robert Zemeckis | Stars: Tom Hanks, Helen Hunt, Paul Sanchez, Lari White",409544,$233630000
2000,The Replacements,tt0191397,PG-13,118,"Comedy, Sport",6.5,30,"During a pro football strike, the owners hire substitute players.","Director: Howard Deutch | Stars: Keanu Reeves, Gene Hackman, Brooke Langton, Orlando Jones",49276,$44740000
2000,Remember the Titans,tt0210945,PG,113,"Biography, Drama, Sport",7.8,48,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,"Director: Boaz Yakin | Stars: Denzel Washington, Will Patton, Wood Harris, Ryan Hurst",165555,$115650000
