"identificador","nombre","baños","dormitorios","precio"
9784567,"nice Room in Amsterdam","1.0",1,95
13163805,"Best cost benefit room near a metro station","1.0",1,60
3719167,"Nice  room in A´dam SE near nature & heart centre","1.0",1,45
13188367,"Private room 15min metro ride from city center","1.5",1,35
4831606,"Room in Amsterdam in a new house!! Free Bicycle","1.0",1,39
13727930,"Studio in Amsterdam","1.0",0,80
591951,"House on waterfront, last minute reduction!","1.5",3,191
9833390,"Clean modern appartment near city","1.0",2,129
13601947,"Apartment South East A'dam (close to metrostation)","1.0",2,120
12850813,"Great Apartment for families","1.0",2,111
5870618,"Cosy Apartment + Wifi","1.0",1,251
5362748,"Great room south of Amsterdam!","1.0",1,45
13538703,"New and stylish big apartment in amsterdam","1.0",3,150
12680964,"Flat, 15min metro Amsterdam center","1.0",1,30
12023314,"Sunny Vintage Apartment","1.0",2,99
10907707,"Lovely room 15 min to city center. Free parking","2.0",1,40
10908410,"Cute room 15 min to city center. Free parking","2.0",1,40
9958128,"Room for rent in Kleiburg,Amsterdam","1.0",1,29
7303805,"Cozy room in the SE of Amsterdam","1.0",1,45
9859597,"Furnished room in a nice apartment!","1.0",1,30
9038396,"Nice appartment / free parking","1.0",1,55
10670670,"Luxery apartment near metro","1.0",2,130
9268952,"Split level apartment 2 bedrooms","1.0",2,69
2942229,"An stylish room in a green area","1.0",1,49
13067890,"Bright and Spacious Double Room","1.5",1,80
9462160,"Nice and comfy","1.0",0,52
6873473,"Amsterdam Zimmer für 2","1.0",1,85
9250191,"Private room double bed,free parkin","1.0",1,30
12508971,"Big appartment (room)","1.0",1,35
10276821,"City Center South East apartment","1.0",1,100
3905287,"B&B# green oasis with free parking","2.0",1,70
13719656,"Luxury private room in Amsterdam","1.5",1,50
9880934,"New apartment with free parking","1.0",1,79
6345602,"GroundFloor Appartment in Amsterdam","1.0",2,120
12289041,"Cozy room in a quiet neighborhood","1.0",1,65
12735030,"Twobedroom apartment next to the subway","1.0",2,45
7131573,"Bright room, green park, arty flat!","1.0",1,55
12031955,"Big, sunny spacious house","1.0",2,120
7303459,"Cozy room in the SE of Amsterdam","1.0",1,40
7032765,"Budget Room in Amsterdam","1.0",1,36
11684742,"Studio in Amsterdam","1.0",1,50
13779421,"Short stay room in Amsterdam (in student house)","1.0",1,27
12272272,"Lovely room near metro station","1.0",1,65
7722639,"Two cozy rooms for max. 4 persons","1.0",1,77
7880299,"Spacious apartment next to metro","1.5",2,75
13745770,"Luxury apartment in Amsterdam","1.5",2,99
3522143,"Quiet summer apartment","1.0",1,50
13262666,"Laid back town house with garden and terrace","1.0",3,89
10860856,"Nice room 15 min to city center. Free parking","1.0",1,45
3651182,"Beautiful complete apartment","1.0",0,100
13775357,"Luxury private room in Amsterdam (2)","1.5",1,50
12333473,"Modern Clean appartement","1.0",1,98
9925265,"Appartement in Amsterdam South East","1.0",2,60
11650989,"Cozy 2-pers private bedroom.","1.0",1,45
4402514,"12,5m2 privet room in a nice flat","1.0",1,30
13685155,"Modern, light, spectacular view. Free Parking","1.5",2,140
13706439,"Cozy Amazing room with great view","1.0",1,55
13354641,"XL ROOM for 3/4 persons - FlexRoom","1.5",1,75
11617912,"Cozy appartement in Amsterdam","1.0",2,80
12395521,"STUDIO 1 minut from Subway/Market","1.0",1,50
9817243,"Couch in living room","1.0",1,45
13784548,"Appartment with beautiful view","1.0",1,93
13288857,"Bed Breakfast Bikes(15 mins from city center)","1.0",1,45
13054514,"Comfortable light 90 sq mtr apartment with view","1.0",2,115
7046849,"Lovely room in South East Amsterdam","1.0",1,45
11469902,"Spacious & Furnished appartment","1.0",1,75
7706472,"Spacious With A Beautiful View","0.5",2,110
9115414,"staying in green surroundings","1.0",1,30
12206912,"Spacious apartment & beautiful view","2.0",2,99
13062045,"Spacious double room in Amsterdam","1.5",1,70
13635628,"comfortabele kamer te huur eventueel 1 kind erbij","1.0",1,50
5998167,"Sunny 2 room apartment","1.0",1,65
11218361,"Apartment in Amsterdam-North","1.0",1,49
13293783,"Light and quiet room in a green neighborhood NORTH","1.0",1,75
