Month,Average Daily Milk Production
1962-01,19
1962-02,20.03571428571429
1962-03,20.64516129032258
1962-04,21.86666666666667
1962-05,23.45161290322581
1962-06,23.23333333333333
1962-07,20.64516129032258
1962-08,19.32258064516129
1962-09,18.93333333333333
1962-10,18.61290322580645
1962-11,18.43333333333333
1962-12,18.7741935483871
1963-01,19.35483870967742
1963-02,20.21428571428571
1963-03,21.06451612903226
1963-04,22.43333333333333
1963-05,23.93548387096774
1963-06,23.86666666666667
1963-07,21.29032258064516
1963-08,19.90322580645161
1963-09,19.43333333333333
1963-10,18.93548387096774
1963-11,18.83333333333333
1963-12,19.29032258064516
1964-01,20.25806451612903
1964-02,22.07142857142857
1964-03,22.19354838709677
1964-04,23.5
1964-05,24.83870967741935
1964-06,24.53333333333333
1964-07,21.87096774193548
1964-08,20.61290322580645
1964-09,20.13333333333333
1964-10,19.70967741935484
1964-11,19.8
1964-12,20.45161290322581
1965-01,21.2258064516129
1965-02,22.21428571428571
1965-03,22.87096774193548
1965-04,24.06666666666667
1965-05,25.2258064516129
1965-06,25.2
1965-07,22.64516129032258
1965-08,21.06451612903226
1965-09,20.5
1965-10,20.03225806451613
1965-11,20.06666666666667
1965-12,20.48387096774194
1966-01,21.83870967741935
1966-02,22.67857142857143
1966-03,23.74193548387097
1966-04,25.16666666666667
1966-05,26.16129032258065
1966-06,26.6
1966-07,23.70967741935484
1966-08,22.48387096774194
1966-09,22.03333333333333
1966-10,21.51612903225806
1966-11,21.5
1966-12,22.19354838709677
1967-01,23
1967-02,23.82142857142857
1967-03,24.58064516129032
1967-04,26.13333333333333
1967-05,27
1967-06,27.23333333333333
1967-07,24.74193548387097
1967-08,23.29032258064516
1967-09,22.7
1967-10,22.16129032258065
1967-11,22
1967-12,22.51612903225806
1968-01,23.12903225806452
1968-02,24.85714285714286
1968-03,25
1968-04,26.53333333333333
1968-05,27.67741935483871
1968-06,27.53333333333333
1968-07,25.25806451612903
1968-08,23.87096774193548
1968-09,23.36666666666667
1968-10,22.7741935483871
1968-11,22.56666666666667
1968-12,22.93548387096774
1969-01,23.67741935483871
1969-02,24.64285714285714
1969-03,25.32258064516129
1969-04,26.83333333333333
1969-05,28.09677419354839
1969-06,28.16666666666667
1969-07,25.83870967741935
1969-08,24.64516129032258
1969-09,24.16666666666667
1969-10,23.32258064516129
1969-11,23
1969-12,23.67741935483871
1970-01,24.19354838709677
1970-02,25.25
1970-03,26.03225806451613
1970-04,27.46666666666667
1970-05,28.58064516129032
1970-06,28.63333333333333
1970-07,26.41935483870968
1970-08,25.25806451612903
1970-09,24.66666666666667
1970-10,24.09677419354839
1970-11,23.7
1970-12,24.2258064516129
1971-01,25.93548387096774
1971-02,27
1971-03,27.74193548387097
1971-04,29.26666666666667
1971-05,30.38709677419355
1971-06,30.43333333333333
1971-07,28.03225806451613
1971-08,26.90322580645161
1971-09,26.33333333333333
1971-10,25.80645161290323
1971-11,25.43333333333333
1971-12,25.80645161290323
1972-01,26.64516129032258
1972-02,28.53571428571429
1972-03,28.70967741935484
1972-04,30
1972-05,31
1972-06,31.16666666666667
1972-07,28.83870967741935
1972-08,27.58064516129032
1972-09,26.96666666666667
1972-10,26.12903225806452
1972-11,25.53333333333333
1972-12,25.96774193548387
1973-01,26.48387096774194
1973-02,27.60714285714286
1973-03,28.48387096774194
1973-04,29.93333333333333
1973-05,30.87096774193548
1973-06,30.8
1973-07,28.41935483870968
1973-08,27
1973-09,26.13333333333333
1973-10,25.51612903225806
1973-11,25.33333333333333
1973-12,25.87096774193548
1974-01,26.70967741935484
1974-02,27.78571428571429
1974-03,28.67741935483871
1974-04,30.06666666666667
1974-05,31.25806451612903
1974-06,31.56666666666667
1974-07,29.29032258064516
1974-08,27.96774193548387
1974-09,27.16666666666667
1974-10,26.19354838709677
1974-11,25.76666666666667
1974-12,26.2258064516129
1975-01,26.90322580645161
1975-02,27.92857142857143
1975-03,28.7741935483871
1975-04,30.1
1975-05,31.16129032258065
1975-06,31.23333333333333
1975-07,28.90322580645161
1975-08,27.67741935483871
1975-09,27.23333333333333
1975-10,26.67741935483871
1975-11,26.56666666666667
1975-12,27.19354838709677
